time,lab_id,occupancy,temperature,cooling_needed
18:00,Lab2,20,28,Medium
10:00,Lab1,11,29,Medium
12:00,Lab3,25,32,Medium
17:00,Lab2,2,24,Low
12:00,Lab3,31,24,Low
16:00,Lab3,11,27,Medium
17:00,Lab1,19,24,Low
12:00,Lab3,5,31,Low
10:00,Lab3,2,22,Low
18:00,Lab2,26,29,High
18:00,Lab4,6,29,Low
13:00,Lab1,35,26,Medium
11:00,Lab2,20,31,Medium
14:00,Lab2,39,20,Low
10:00,Lab2,0,23,Low
11:00,Lab2,6,27,Low
12:00,Lab1,34,23,Low
9:00,Lab2,22,24,Low
15:00,Lab4,34,21,Low
8:00,Lab3,35,32,High
14:00,Lab2,38,24,Low
16:00,Lab2,32,27,Medium
17:00,Lab1,5,29,Low
8:00,Lab1,18,22,Low
8:00,Lab1,35,22,Low
13:00,Lab1,34,27,Medium
10:00,Lab2,23,25,Medium
10:00,Lab1,11,25,Medium
8:00,Lab2,17,23,Low
15:00,Lab1,38,32,High
14:00,Lab4,9,25,Low
13:00,Lab1,0,29,Low
14:00,Lab2,32,20,Low
17:00,Lab1,34,23,Low
10:00,Lab4,22,23,Low
10:00,Lab1,14,24,Low
